RAZON SOCIAL,DIR-COMERCIAL,BARRIO-COMERCIAL,MUN-COMERCIAL,TEL-COM-1,TEL-COM-2,TEL-COM-3,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD
PARQUEADERO Y LAVADERO DONDE MAYOR,C  1        19       85,00553 - BOSQUES DE MARACAIBO,76834 - TULUA,2303128,,3106445852,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER ELECTRO INYECCION M L,CR 30 17 62,00470 - POPULAR,76834 - TULUA,2240599,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER OSPINA - SOLO PASTILLAS,K 31 16-60 B/ ENTRE RIOS,00453 - ENTRE RIOS,76834 - TULUA,2251914,2251829,3128182425,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS. COMERCIO DE PARTES PIEZAS Y ACCESORIOS PARA VEHICULOS.
TODO AUTOS ORLANDO,K 29        12 I      07,00460 - EL BOSQUE,76834 - TULUA,3122950361,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MECÁNICA
GRUPO EMPRESARIAL EN COMBUSTIBLES LIMPIOS DIESELGAS S.A.S,CR 27 BIS 40  189,00481 - AVENIDA CALI,76834 - TULUA,2326304,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AUTO ALAMO,K 40        43         88,00450 - VILLA DEL RÍO,76834 - TULUA,2256938,,,G4511 ** Comercio de vehiculos automotores nuevos,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,COMERCIO DE VEHICULOS AUTOMOTORES NUEVOS. COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES. MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AUTOLLANTAS AS,C 25        31       06,00452 - CESPEDES,76834 - TULUA,2250569,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO REPARACION DE VEHICULOS COMERCIALIZACION DE REPUESTOS
AGRICULTURA Y SERVICIOS S.A.S,CRA 40    NRO  27 - 04,,76834 - TULUA,2535454,2561103,3108462421,G4664 ** Comercio al por mayor de productos quimicos basicos  cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,A0161 ** Actividades de apoyo a la agricultura,H4923 ** Transporte de carga por carretera,G4520 ** Mantenimiento y reparacion de vehiculos automotores,COMERCIALIZACION DE INSUMOS DE USO AGRICOLA  LLANTAS  ACEITES  SERVICIOS SERVITECA
TALLER AUTO MOTORES PITUFO DE LA 38,K 40       31            68,00445 - MIRAFLORES,76834 - TULUA,2328813,3167125756,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
HOTEL Y LAVADERO ESTAMBUL,K 40        13       10,00463 - ESTAMBUL,76834 - TULUA,3183572576,,,I5511 ** Alojamiento en hoteles,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,SERVICIO DE HOSPEDAJE Y LAVADO DE VEHICULOS
PARQUEADERO LA VARIANTE JPM,K 40        28       35,00444 - JAZMÍN,76834 - TULUA,3117172465,,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,A0150 ** Explotacion mixta (agricola y pecuaria),A0124 ** Cultivo de caña de azucar,ACTIVIDADES DE ESTACIONES  VÍAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE
MASCALCAS,K 30        24       24,00452 - CESPEDES,76834 - TULUA,3207977546,,,M7310 ** Publicidad,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,PUBLICIDAD
HAWAII CAR WASH LA 7,CL 7 CR 6 NRO 6 - 18 BRR CENTRO,,76113 - BUGALAGRANDE,3117510631,3117510631,3117510631,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES. ACTIVIDADES DE ESTACIONES  VÍAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE.
TRACTOPARTES DE LA MONTAÑA,K 40        28       18,00446 - PANAMERICANO,76834 - TULUA,2258016,,3175160590,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
SERVICIOS A.B.M,K 40        42B      22,00450 - VILLA DEL RÍO,76834 - TULUA,3153619522,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,COMERCIO DE AUTOPARTES
RECTIFICADORA DE MOTORES LA NUEVA IMAGEN FENIX,C 23        26       42,00480 - TOMÁS URIBE,76834 - TULUA,2243631,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS
TALLER DE SERVICIO ELECTRICO JULIAN LA 22,C 22        30       67,00452 - CESPEDES,76834 - TULUA,3128123655,2227697,3128123655,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
CHEVYAUTOS SALCEDO,C 13        38C      50,00475 - EL CONDOR II,76834 - TULUA,2249582,3168705069,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,SE REALIZA EL MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES Y LA VENTA DE REPUESTOS PARA LOS MISMOS
JORGE ANDRES MONTAÑO VILLEGAS,CR 40 28 145,00451 - ALVERNIA,76834 - TULUA,2250759,,3182469119,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C2429 ** Industrias basicas de otros metales no ferrosos,C2592 ** Tratamiento y revestimiento de metales  mecanizado,MANTENIMIENTO Y REPARACIóN INCLUIDA SOLDADURA ESPECIALIZADO  REALIZADO A CAMBIO DE UNA RETRIBUCIóN O POR CONTRATA  DE MAQUINARIA Y EQUIPO DE USO INDUSTRIAL O COMERCIAL MAQUINARIA CON CUCHILLAS Y SIERRAS INCLUIDO EL AFILADO E INSTALACIóN DE LAS CUCHILLAS Y SIERRAS MOTORES EXCEPTO LOS DE LOS VEHíCULOS AUTOMOTORES  EJEMPLO MOTORES DE BUQUES O LOCOMOTORAS TURBINAS PARA LA GENERACIóN DE ENERGíA Y CALOR  BOMBAS Y EQUIPO HIDRáULICO O CONEXO DE PROPULSIóN DE FLUIDOS REPARACIóN Y MANTENIMIENTO DE VáLVULAS  COMPRESORES Y GRIFOS COJINETES  ENGRANAJES  TRENES DE ENGRANAJES Y ELEMENTOS DE TRANSMISIóN EQUIPO DE ELEVACIóN Y MANIPULACIóN DE USO INDUSTRIAL HORNOS DE PROCESAMIENTO INDUSTRIAL EQUIPO DE REFRIGERACIóN Y DE PURIFICACIóN DE AIRE MAQUINARIA DE USO GENERAL HERRAMIENTAS DE MANO CON MOTOR INCORPORADO MáQUINAS HERRAMIENTA Y ACCESORIOS PARA CORTAR Y FORMAR METALES OTRAS MáQUINAS HERRAMIENTA HORNOS  HOGARES Y QUEMADORES INDUSTRIALES TRACTORES AGRíCOLAS MAQUINARIA AGRíCOLA  SI
SERVITECA WASH & SHINE,CR. 8 VARIANTE ZARZAL LA VICTORIA,,76895 - ZARZAL,3124571795,,3146724027,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,ACTIVIDADES DE LAVADA DE AUTOMOTORES. MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
AUTOMOTORA NORTE Y SUR LTDA TULUA,CRA 40        43       20,00443 - FATIMA,76834 - TULUA,2321055,2262339,,G4511 ** Comercio de vehiculos automotores nuevos,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,COMERCIALIZACION DE VEHICULOS AUTOMOTORES  PARTES Y ACCESORIOS  MANTENIMIENTO DE VEHICULOS AUTOMOTORES
GRAN ESTANQUILLO  Y LAVATECA TRAZVERZAL,CRA 12 NRO. 4B - 06 CL 4B NRO. 24B - 18,00569 - ALAMEDA,76834 - TULUA,3167656750,3173554721,3105092764,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO AL POR MENOR DE BEBIDAS Y PRODUCTOS DEL TABACO  EN ESTABLECIMIENTOS ESPECIALIZADOS MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
ALMACEN EL TROQUE M.C,C 29        39       32,00446 - PANAMERICANO,76834 - TULUA,2249047,3167141257,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
PARQUEADERO Y LAVADERO ZONA BLANCA LA 25,C 25        36       19,00455 - NUEVO ALVERNIA,76834 - TULUA,3174017047,2244548,3174017047,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,N8129 ** Otras actividades de limpieza de edificios e instalaciones industriales,,ACTIVIDADES DE ESTACIONES  VIAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES OTRAS ACTIVIDADES DE LIMPIEZA DE EDIFICIOS E INSTALACIONES INDUSTRIALES
INVERSIONES LA KASKADA VIP,K 27A       40      298,00481 - AVENIDA CALI,76834 - TULUA,3176465340,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES  ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS
VULCANIZADORA ZAPATA LA 23,K 23        18       48,00577 - MARACAIBO,76834 - TULUA,3015880851,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
LUBRICENTRO EL COCLI,C  5         8       08,,76895 - ZARZAL,3113132999,3113132999,3113132999,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHICULOS AUTOMOTORES. MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
GUAYAS TULUA LA 30 JJ,CL 23 30 64,00452 - CESPEDES,76834 - TULUA,2249712,,3162397308,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,VENTA  REPARACIÓN E INSTALACIÓN DE GUAYA Y ACCESORIOS PARA VEHÍCULOS Y MOTOS
MULTISERVICIOS OLIVEROS N.J,C 19       22            60,,76828 - TRUJILLO,3162983019,,3162983019,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
TALLER AUTOCAR ARISTIZABAL,C  8        10       58,,76616 - RIOFRIO,3117336580,,3117336580,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AUTOPACIFICO S.A TULUA,CL 50        40       15,00526 - PRADOS DEL NORTE,76834 - TULUA,4853000,,,G4511 ** Comercio de vehiculos automotores nuevos,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4512 ** Comercio de vehiculos automotores usados,REPARACION PARA VEHICULOS AUTOMOTORES
SERVICOCHES J.M TULUA,CARRERA 26E NRO 13 -  102,00500 - LA ESPERANZA,76834 - TULUA,3177056473,3182476970,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,R9004 ** Creacion audiovisual,,,CREACION AUDIOVISUAL Y MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
VULCANIZADORA J.H. SERVICIO 24 HORAS,K 14         1       62,,76036 - ANDALUCIA,3207317525,2263019,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTEMINIENTO Y REPARACION DE VEHICULOS
LUBRICENTRO EL OASIS LA HERRADURA,C 27        18       06,00501 - LAS DELICIAS,76834 - TULUA,2247181,2247181,3167536573,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHÍCULOS AUTOMOTORES. MANTENIMIENTO DE VEHÍCULOS AUTOMOTORES
MONTALLANTAS LA TRANSVERSAL L.G,C 24        10      108,00512 - EL PORVENIR,76834 - TULUA,3107867432,,2309219,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER MALDONADO SUPER,CALLE  40 N° 37-39,00446 - PANAMERICANO,76834 - TULUA,3163267885,3163267885,3163267885,G4520 ** Mantenimiento y reparacion de vehiculos automotores,F4330 ** Terminacion y acabado de edificios y obras de ingenieria civil,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES. TERMINACIÓN Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERÍA CIVIL.
TAPIZADOS AUTOJEEP,CL 21 28A 34,00474 - VILLANUEVA,76834 - TULUA,3153010663,3178819257,3153010663,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
DECAR D.V,K 27A       35       38,00481 - AVENIDA CALI,76834 - TULUA,3173197412,,3173197412,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS
ANDRES FRENOS LA 40,CR 40 23 20 LOCAL 1,00455 - NUEVO ALVERNIA,76834 - TULUA,3184370364,,3184370364,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
PARQUEADERO Y CAFETERIA THE BROTHER P.G,CR 25  28   59,00476 - EL CENTRO,76834 - TULUA,3165171492,,3165171492,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,I5613 ** Expendio de comidas preparadas en cafeterias,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,PARQUEADERO
ARIEL MOTORS TULUA S.A.S.,CR 30 21 31,00452 - CESPEDES,76834 - TULUA,2247999,,3104283068,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES  COMERCIO DE PARTES  PIEZAS Y ACCESORIOS
TALLER PATIÑO M A,K 20       24            75,,76828 - TRUJILLO,3148166767,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
LUBRITECA Y LAVATECA DON PATO DE LA 22,K 22       8             121,00563 - MUNICIPAL,76834 - TULUA,3158599928,2332003,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,,LUBRITECA Y  LAVATECA.
MAZ AUTOS TULUA,CALLE 13   68-13,00487 - LA BASTILLA,76834 - TULUA,3120777,,3194769573,G4511 ** Comercio de vehiculos automotores nuevos,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,COMERCIO DE VEHICULOS  MANTENIMIENTO Y REPARACION
RAEXOCAR,C 16       16            02,00470 - POPULAR,76834 - TULUA,3215687559,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,REPARACION DE VEHICULOS AUTOMOTORES
ELECTRO CAR MEJIA,CALLE 16A  29 18  BARRIO POPULAR,00470 - POPULAR,76834 - TULUA,2240588,,3158618410,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS.
PARQUEADERO Y LAVADERO CAR WASH VIP,C 13       9             48,,76895 - ZARZAL,2208376,3135289994,3135289994,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,SERVICIO DE LAVADO Y MANTENIMIENTO DE VEHÍCULOS.
IMPOPARTES NERY GOMEZ S.A.S.,C 17       30            07,00470 - POPULAR,76834 - TULUA,3146145048,3215530820,3165216101,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4512 ** Comercio de vehiculos automotores usados,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H4922 ** Transporte mixto,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
CENTRO DE LUBRICACION TEXAS,T 12       25B         12,00497 - BOLIVAR,76834 - TULUA,3182247537,3168818129,3128408433,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,,COMERCIO AL POR MENOR DE LUBRICANTES Y DERIVADOS DEL PETROLEO
LUBRITECA LA VARIANTE O.H.,K 40       28  C         60,00446 - PANAMERICANO,76834 - TULUA,3166104728,2241116,3166104728,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHICULOS AUTOMOTORES MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
PINTUFER LA 40,K 40       24         81,00444 - JAZMÍN,76834 - TULUA,3175279711,3162378078,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
ASEO Y FILTRACION DE COMBUSTIBLE DIANA,CRA 4 NRO. 17 - 110 VARIANTE FRENTE POSTOBON,,76895 - ZARZAL,3146817211,3146817211,3146817211,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE ASEO Y FILTRACION DE COMBUSTIBLE
CAR WASH Y LUBRICANTES,C 13       9             48,,76895 - ZARZAL,2035788,3164097579,3154722179,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,K6621 ** Actividades de agentes y corredores de seguros,,LAVADO GENERAL DE AUTOMÓVILES  MANTENIMIENTO DE VEHÍCULOS  VENTA DE SOAT Y VENTA DE BACTERIA  LUBRICANTES Y OTROS.
AUTOVALLE Y SERVICIOS S.A.S.,K 40        28B      36,00446 - PANAMERICANO,76834 - TULUA,2251597,3113013316,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,G4512 ** Comercio de vehiculos automotores usados,MANTENIMIENTO VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y DE SUS PARTES Y PIEZAS COMERCIO DE VEHICULOS AUTOMOTORES USADOS
TALLER EL AEROPUERTO J.Z,PREDIO 67 LA VARIANTE VIA RIOFRIO,,76834 - TULUA,3154024238,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
MEGA LLANTAS DEL VALLE,CRA 30 NRO. 17 - 26,00470 - POPULAR,76834 - TULUA,3104605797,2335666,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
LAVADERO Y PARQUEADERO EL CENTRO J.A.G.,CARRRERA 6   11  21 B/CENTRO,,76036 - ANDALUCIA,3229735253,2236269,3229735253,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES ACTIVIDADES DE ESTACIONES  VIAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE
RECONSTRUCTORA DE MOTORES R Y R DIESEL DEL VALLE,CL 21   29   51,00474 - VILLANUEVA,76834 - TULUA,3184591181,,3113629731,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
CENTRAL DE ALARMAS Y POLARIZADOS L G,CALLE 26  NRO  30 66,00452 - CESPEDES,76834 - TULUA,3002323435,,3002323435,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
JUAN GREGORIO GIL TAPICERIA EN GENERAL,CL 29   38   39,00446 - PANAMERICANO,76834 - TULUA,2250603,,3152597428,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO DE VEHICULOS AUTOMOTORES
SERVIELECTRIC AGRICOLA,CARRERA 28A  NRO 8A  - 13,00472 - SANTA RITA DEL RÍO,76834 - TULUA,2323608,3184194575,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
EXOSTOS JAVIER,C 19       28  A         75,00474 - VILLANUEVA,76834 - TULUA,3175251526,3156891994,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS
TALLER & MANTENIMIENTO JE,CARRETERA CENTRAL CRUCE URIBE VIA SEVILLA ESTACION ESSO MOVIL,,76113 - BUGALAGRANDE,3136705605,,3136705605,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SERVICIO ELECTRICO GUASA,K 29  A    21            60,00474 - VILLANUEVA,76834 - TULUA,2320719,3154455108,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO VEHÍCULOS
TALLER AUTOYOTA JM,K 29  A    22            68,00474 - VILLANUEVA,76834 - TULUA,3164380002,3137545518,3137545518,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
TALLER CORDOBAUTOS,K 28       38            14,00481 - AVENIDA CALI,76834 - TULUA,2243452,,3163238888,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
VAQUERO SERVICIO AUTOMOTRIZ Y ALMACEN,K 19       34            40,00507 - PUEBLO NUEVO,76834 - TULUA,3153898365,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
ECHEVERRI SERVICIOS HF S.A.S,K 40       27            39,00447 - SAN BENITO LA RIVERA,76834 - TULUA,2255434,,3158560686,H4923 ** Transporte de carga por carretera,F4312 ** Preparacion del terreno,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,TRANSPORTE DE MATERIAL  ALQUILER DE MAQUINARIA  VENTA DE MERCANCÍA AL POR MENOR REPUESTOS PARA MAQUINARIA  MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS
UNI AUTOS J G,C 16       30            60,00453 - ENTRE RIOS,76834 - TULUA,3187442327,,3187442327,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
CENTRO DE SERVICIO AUTOMOTRIZ MEGA AUTOS,CRA 26 NRO. 38 - 134,00486 - EL PRINCIPE,76834 - TULUA,2249828,2249828,3164287934,G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCION  ARTICULOS DE FERRETERIA  PINTURAS  PRODUCTOS DE VIDRIO  EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
MONTALLANTAS ORTEGA,C 5        8             08,,76895 - ZARZAL,3126389048,3126389048,3126389048,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MONTA LLANTAS.
